Drug,Target
Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside,MAN1B1
Geldanamycin,HSP90AB1
Geldanamycin,HSP90AA1
Geldanamycin,HSP90B1
Carboxyatractyloside,SLC25A4
RU90395,SRC
2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid,PTPN1
"3,8,9,10-Tetrahydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",PYGM
N-Tridecanoic Acid,PLA2G2E
B-nonylglucoside,AQP1
B-nonylglucoside,KCNJ3
"S-(2,4-dinitrophenyl)glutathione",GSTM1
4-Guanidinobenzoic Acid,CFB
12-Phenylheme,HMOX1
Nojirimycine Tetrazole,PYGM
"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",PLAU
Phosphonothreonine,PRKACA
Phosphonothreonine,PRKACB
Phosphonothreonine,MAPK12
Phosphonothreonine,PRKCQ
Phosphonothreonine,AURKA
Phosphonothreonine,MAPK1
Etheno-Nad,LDHA
4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine,FGFR2
Ghavamiol,MAN2A1
Carba-Nicotinamide-Adenine-Dinucleotide,PARP1
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP1CA
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2R1A
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2CA
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2R5C
"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",PPP2R2A
Isopentyl Pyrophosphate,FDPS
"1,6-Fructose Diphosphate (Linear Form)",ALDOA
Indirubin-5-Sulphonate,PYGM
CRA_10655,PLAU
gamma-Aminobutyric acid,GABBR1
gamma-Aminobutyric acid,GABBR2
"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide",CDK2
4-Hydroxybutan-1-Aminium,PRSS3
(4s)-5-Fluoro-L-Leucine,UBB
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine",HSP90AA1
"6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",PLAU
Geranyl Diphosphate,FDPS
Pentaglyme,PFN2
4-(Hydroxymethyl)Benzamidine,PRSS3
Colforsin,ADCY2
Colforsin,GNAS
Colforsin,ADCY5
Colforsin,CFTR
Se-Ethyl-Isoselenourea,NOS3
1-Amino-6-Cyclohex-3-Enylmethyloxypurine,CDK2
2-Deoxy-Glucose-6-Phosphate,PYGM
Balanol Analog 1,PRKACA
Compound 19,PTPN1
Compound 19,ESR1
Sp7343-Sp7964,PTPN1
Latrunculin A,GSN
2-(Oxalyl-Amino)-Benzoic Acid,PTPN1
Aminophosphonic Acid-Guanylate Ester,CDC42
Cibacron Blue,NQO1
Cibacron Blue,GSTP1
"9-Hydroxy-8-Methoxy-6-Nitro-Phenanthrol[3,4-D][1,3]Dioxole-5-Carboxylic Acid",PLA2G2E
Terlipressin,AVPR1B
N-Omega-Propyl-L-Arginine,NOS1
N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide,CDK2
"{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)",PTPN1
LY-294002,PIM1
Filaminast,PDE4B
Novo Nordisk a/S Compound,PTPN1
"2-[3-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Propylamino]-2-Hydroxymethyl-Propane-1,3-Diol",PDE4D
Meta Vanadate,CKS1B
3-Methylphenylalanine,CTSB
NU1025,PARP1
Nicotinamide,LDHA
Nicotinamide,PARP1
"6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",PLAU
Resveratrol,PTGS1
Resveratrol,PTGS2
Resveratrol,AHR
Resveratrol,ITGA5
Resveratrol,ITGB3
Resveratrol,APP
Resveratrol,ESR1
Resveratrol,MTNR1A
Resveratrol,SLC2A1
Resveratrol,PPARA
Resveratrol,PPARG
Resveratrol,AKT1
Compound 18,ESR1
7-Methyl-Guanosine-5'-Triphosphate,EIF4E
C-(1-Hydrogyl-Beta-D-Glucopyranosyl) Formamide,PYGM
Alpha-D-Glucopyranosyl-2-Carboxylic Acid Amide,PYGM
2-Phosphoglycolic Acid,PKM
2-Phosphoglycolic Acid,ENO2
2-Phosphoglycolic Acid,ENO3
N-Butyl-N'-Hydroxyguanidine,NOS1
Purvalanol,CDK4
Purvalanol,MAPK1
Purvalanol,MAPK3
Purvalanol,CDK2
Kifunensine,MAN2A1
Kifunensine,MAN1B1
Phthalic Acid,ESR1
Phthalic Acid,PGR
Phthalic Acid,ESR2
Phthalic Acid,PPARA
Phthalic Acid,PPARD
Phthalic Acid,PPARG
Phthalic Acid,RXRA
Phthalic Acid,RXRB
Phthalic Acid,RXRG
"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine",HSP90AB1
"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine",HSP90AA1
Pyrazole,ESR1
Pyrazole,ESR2
Indolylpropionic Acid,PLA2G2E
S-Mercaptocysteine,TST
RU79072,SRC
5-Mercapto-2-Nitro-Benzoic Acid,IL12B
Sucrose,TAS1R2
(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,PTGS1
"1,3-Propandiol",ARF1
"2,5-Anhydroglucitol-1,6-Biphosphate",FBP1
Dodecane-Trimethylamine,PTPN11
N-[4-(2-{2-[3-(2-Bromo-Acetylamino)-Propionylamino]-3-Hydroxy-Propionylamino}-Ethyl)-Phenyl]-Oxalamic Acid,PTPN1
P-Anisic Acid,PLA2G2E
Iodo-Willardiine,GRIA2
"7-(1,1-Dioxo-1h-Benzo[D]Isothiazol-3-Yloxymethyl)-2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",PTPN1
[4-(2-Amino-4-Methyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(3-Nitro-Phenyl)-Amine,CDK2
"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid",HSP90AA1
alpha-D-glucose-1-phosphate,PYGM
"{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol",FBP1
N-(3-Propylcarbamoyloxirane-2-Carbonyl)-Isoleucyl-Proline,CTSB
Calyculin A,PPP1CC
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",CALM1
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",CALM2
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine",CALM3
3-amino-5-phenylpentane,CTSV
"Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone",MDM2
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One",MAPK14
Arotinoid acid,RARB
5-{[(2-Amino-9h-Purin-6-Yl)Oxy]Methyl}-2-Pyrrolidinone,CDK2
Stanolone,ESR1
Stanolone,NR3C2
RU78783,SRC
Octanoyl-Coenzyme A,ACADM
"2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine",NOS3
"4-(2,4-Dimethyl-1,3-thiazol-5-yl)-N-[4-(trifluoromethyl)phenyl]-2-pyrimidinamine",CDK2
6-(4-Difluoromethoxy-3-Methoxy-Phenyl)-2h-Pyridazin-3-One,PDE4D
Adenosine 5'-[γ-thio]triphosphate,PMS2
Diglyme,HSP90B1
"Inositol 1,3-Bisphosphate",EEA1
Hymenialdisine,CDK5
Hymenialdisine,CDK1
Hymenialdisine,CDK2
Alpha-Aminoisobutyric Acid,NPY
Ricinoleic Acid,CNR1
Ricinoleic Acid,TRPV1
"(5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine",CDK2
"8,9,10-Trihydroxy-7-Hydroxymethyl-2-Thioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Decan-4-One",PYGM
Fluoro-Willardiine,GRIA2
4-(5-Bromo-2-Oxo-2h-Indol-3-Ylazo)-Benzenesulfonamide,CDK2
PNU177836,PTPN1
"N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane",NOS3
Para-Mercury-Benzenesulfonic Acid,ESR2
"4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline",MAPK14
S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea,NOS1
Cacodylic acid,NOS3
Cacodylic acid,GNAT1
Methyltrienolone,PGR
Methyltrienolone,NCOA2
Methyltrienolone,NR3C2
Quisqualate,GRIA2
Glutathione Sulfonic Acid,GSTM4
Glutathione Sulfonic Acid,GSTP1
5-fluoro-beta-L-gulosyl fluoride,MAN2A1
Patupilone,TUBA3C
Patupilone,TUBB
Patupilone,TUBB1
Patupilone,TUBB4B
Patupilone,TUBB4A
Patupilone,TUBA4A
Patupilone,TUBB3
Patupilone,TUBA1C
Patupilone,TUBA8
Patupilone,TUBA1A
Lauric Acid,HNF4A
Lauric Acid,PPARA
"4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine",CDK2
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",LCK
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",LYN
"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",SRC
1h-Benoximidazole-2-Carboxylic Acid,CTSD
S-Octylglutathione,GSTM4
1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,MAPK14
7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide,PLAU
2-Aminobenzyl alcohol,CFD
7-Nitroindazole-2-Carboxamidine,NOS3
"4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid",PYGM
"2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone",PARP1
3-Methoxybenzamide,PARP1
PASBN,SRC
6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide,PLAU
IC261,CSNK1G2
Pidolic Acid,VEGFA
Pidolic Acid,HCRT
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",HSP90AA1
N-Aminoethylmorpholine,CTSD
6-Nitroindazole,NOS3
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",PTPN1
RU82129,SRC
2-Chlorophenol,MAPK14
PAS219,SRC
"5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide",MAP2K1
Para-Toluene Sulfonate,CTSH
5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid,CASP3
Mant-Adp,MYH14
Benzamidine,PRSS3
Benzamidine,PLAU
Acetylcholine,CHRM1
Acetylcholine,CHRM3
Acetylcholine,CHRNA7
"[3-(1,3,2-Dioxaborolan-2-Yloxy)Propyl]Guanidine",PRSS3
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole",PYGM
4-Iodobenzo[B]Thiophene-2-Carboxamidine,PLAU
"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine",HSP90AA1
N-Omega-Hydroxy-L-Arginine,NOS3
N-Omega-Hydroxy-L-Arginine,NOS1
Flavin adenine dinucleotide,ACADM
Flavin adenine dinucleotide,NOS1
Flavin adenine dinucleotide,NQO1
Flavin adenine dinucleotide,ERO1B
Flavin adenine dinucleotide,TXNRD1
Flavin adenine dinucleotide,ACOX1
Flavin adenine dinucleotide,NDUFA9
{[7-(Difluoro-Phosphono-Methyl)-Naphthalen-2-Yl]-Difluoro-Methyl}-Phosphonic Acid,PTPN1
CRA_8696,PLAU
(S)-Hmg-Coa,HMGCR
KB-141,THRB
KB-141,THRA
"2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione",THRB
"1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4D
Stearic acid,PPARA
Duvoglustat,MAN1B1
DPI59,SRC
N-Acetyl-N'-Beta-D-Glucopyranosyl Urea,PYGM
dATP,POLB
Diphthamide,EEF2
Trifluoroethanol,HRAS
"(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid",GRIA2
Flavin mononucleotide,RPS6KA4
Flavin mononucleotide,NOS1
Flavin mononucleotide,SGK1
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole",PYGM
RU82197,SRC
"4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid",GRB2
C-(1-Azido-Alpha-D-Glucopyranosyl) Formamide,PYGM
5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide,PYGL
Benzylsulfinic Acid,SOD2
Phenylphosphate,SRC
N5-Iminoethyl-L-Ornithine,NOS3
RU78300,SRC
4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide,CDK2
"3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide",PTPN1
Fluorotryptophane,GSTM1
"1,4-Diethylene Dioxide",EPN1
"1,4-Diethylene Dioxide",TGFB3
Heme C,CYCS
(S)-ATPA,GRIA2
2-Pyridinethiol,CTSB
"5,6-Cyclic-Tetrahydropteridine",NOS3
Heptyl-Beta-D-Glucopyranoside,PPARD
"Inositol-(1,3,4,5,6)-Pentakisphosphate",CYTH3
Beta-Mercaptoethanol,SERPINA1
Triethyl Phosphate,TP53
8-Bromo-Adenosine-5'-Monophosphate,PDE4B
"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole",PYGM
"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline",CDK2
Imidazole,PIM1
Imidazole,MYO1E
Imidazole,CYCS
"3,5-Diiodotyrosine",PKIA
"3,5-Diiodotyrosine",PRKACA
L-Tyrosinamide,NPY
Hexadecanal,DBI
S-oxy-L-cysteine,SOD1
5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide,PYGM
Fica,CASP7
"(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester",PYGM
Uridine-Diphosphate-N-Acetylglucosamine,MGAT1
"1D-myo-inositol 1,4,5-trisphosphate",CYTH2
"1D-myo-inositol 1,4,5-trisphosphate",EPN1
"1D-myo-inositol 1,4,5-trisphosphate",PLCD1
"1D-myo-inositol 1,4,5-trisphosphate",RDX
"1D-myo-inositol 1,4,5-trisphosphate",ITPR1
5-Thio-a/B-D-Mannopyranosylamine,MAN2A1
3-Thiaoctanoyl-Coenzyme A,ACADM
SU9516,CDK5
SU9516,CDK1
SU9516,CDK2
Cardiolipin,SLC25A4
"(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime",GSK3B
N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine,NOS1
"1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3",VDR
2'-Monophosphoadenosine 5'-Diphosphoribose,ME1
2'-Monophosphoadenosine 5'-Diphosphoribose,NOS1
2'-Monophosphoadenosine 5'-Diphosphoribose,HMGCR
2'-Monophosphoadenosine 5'-Diphosphoribose,HSD17B8
Naringenin,ESR1
Naringenin,ESR2
Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine,PLAU
1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole,PTGS2
"8,9,10-Trihydroxy-7-Hydroxymethyl-3-Methyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",PYGM
4-Benzoylamino-4-{1-{1-Carbamoyl-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-Butyric Acid,PTPN1
"3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole",CDK2
Alvocidib,CDK2
Alvocidib,CDK5
Alvocidib,CDK1
Alvocidib,CDK6
Alvocidib,EGFR
Alvocidib,CDK4
Alvocidib,PYGM
Alvocidib,PYGB
Alvocidib,PYGL
"9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine",HSP90AA1
2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,PARP1
Eniluracil,AOX1
RU79073,SRC
3-Tyrosine,TH
N-{1-[5-(1-Carbamoyl-2-Mercapto-Ethylcarbamoyl)-Pentylcarbamoyl]-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethyl}-3-{2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Acetylamino}-Succinamic Acid,PTPN1
Spermidine,TXNRD1
Spermidine,ADRB1
Spermidine,ADRB2
Phencyclidine,GRIN3A
"(2e,3s)-3-Hydroxy-5'-[(4-Hydroxypiperidin-1-Yl)Sulfonyl]-3-Methyl-1,3-Dihydro-2,3'-Biindol-2'(1'h)-One",CDK2
Oxyphenbutazone,PLA2G2E
Diphenylacetic Acid,CTSB
RU82209,SRC
Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine,GSTM4
Capric acid,PPARG
Tiratricol,THRB
(S)-Rolipram,PDE4D
(S)-Rolipram,PDE4B
Ribostamycin,P4HB
Deoxycholic Acid,GSTP1
"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",NQO1
ISO24,SRC
Guanidine-3-Propanol,PRSS3
Phosphonoacetohydroxamic Acid,ENO3
(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,PIM1
1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose,PYGM
Cysteinesulfonic Acid,CTSL
Cysteinesulfonic Acid,PTPN1
Cysteinesulfonic Acid,CDC25B
"1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol",CDK2
Acetic Acid Salicyloyl-Amino-Ester,PTGS1
"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",PTPN1
S-(P-Nitrobenzyl)Glutathione,GSTP1
N-(2-Aminoethyl)-5-Chloroisoquinoline-8-Sulfonamide,CSNK1G2
Vanoxerine,SLC6A3
1-Hydroxy-2-S-Glutathionyl-3-Para-Nitrophenoxy-Propane,GSTM4
S-Ethyl-N-Phenyl-Isothiourea,NOS3
S-Ethyl-N-Phenyl-Isothiourea,NOS1
N5-(1-Imino-3-Butenyl)-L-Ornithine,NOS1
RU85053,SRC
4-Carbamoyl-4-{[6-(Difluoro-Phosphono-Methyl)-Naphthalene-2-Carbonyl]-Amino}-Butyric Acid,PTPN1
N-Ethyl-5'-Carboxamido Adenosine,HSP90B1
"3,4-Dihydro-5-Methyl-Isoquinolinone",PARP1
2-Amino-5-Hydroxy-Benzimidazole,PLAU
"4-((3r,4s,5r)-4-Amino-3,5-Dihydroxy-Hex-1-Ynyl)-5-Fluoro-3-[1-(3-Methoxy-1h-Pyrrol-2-Yl)-Meth-(Z)-Ylidene]-1,3-Dihydro-Indol-2-One",CDK2
Compound 4-D,ESR1
"Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate",PYGL
"4-(1h-Imidazol-4-Yl)-3-(5-Ethyl-2,4-Dihydroxy-Phenyl)-1h-Pyrazole",HSP90AA1
P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid,PTGS1
Flurbiprofen Methyl Ester,PTGS1
Tromethamine,VEGFA
Doconexent,PPARA
Doconexent,PPARG
Doconexent,RXRA
Doconexent,RXRB
Doconexent,RXRG
Doconexent,SREBF1
Radicicol,HSP90AB1
Radicicol,HSP90B1
FG-9041,GRIA2
Rbt205 Inhibitor,PIM1
Rbt205 Inhibitor,PDPK1
Rbt205 Inhibitor,PRKCI
N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea,PLAU
Phenacetin,PTGS1
GC-24,THRB
"(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid",NR1H2
Palmitic Acid,PPARA
Lysine Nz-Carboxylic Acid,CDK2
"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",ESR1
"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",PDE4B
9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,HSP90AA1
2-(N-Morpholino)-Ethanesulfonic Acid,GSTP1
RU78299,SRC
"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide",PYGM
Gamma-Carboxy-Glutamic Acid,BGLAP
Gamma-Carboxy-Glutamic Acid,F10
Benzenesulfinic acid,NR1H2
Cilomilast,PDE4D
Cilomilast,PDE4B
"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",ESR2
6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,PLAU
Prostaglandin G2,PTGS2
"Thieno[2,3-B]Pyridine-2-Carboxamidine",PLAU
N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,ABL1
Batimastat,MMP16
"5-Alpha-Androstane-3-Beta,17beta-Diol",ESR2
5-N-Allyl-Arginine,NOS1
Thionicotinamide-Adenine-Dinucleotide,GAPDH
9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,HSP90AA1
2-Methyl-2-Propanol,CALM1
2-Methyl-2-Propanol,CALM2
2-Methyl-2-Propanol,CALM3
Oxalic Acid,SRC
Urea,CTNNB1
2-Phenylheme,HMOX1
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",INSR
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",ATP2A1
"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",NOS3
"6S-5,6,7,8-Tetrahydrobiopterin",NOS3
4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,TGFBR1
D-Serine,GRIN1
Protoporphyrin Ix Containing Zn,CYCS
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",FGF2
Oxamic Acid,LDHA
Oxamic Acid,LDHB
"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",TNNC1
1-deoxymannojirimycin,MAN2A1
"Inositol 2,4,5-trisphosphate",PLCD1
"N,O6-Disulfo-Glucosamine",FGF2
"N,O6-Disulfo-Glucosamine",FGF1
S-(Dimethylarsenic)Cysteine,TLR2
S-(Dimethylarsenic)Cysteine,NOS3
L-Homoarginine,NOS3
N-Trimethyllysine,CYCS
N-Trimethyllysine,CALM1
N-Trimethyllysine,CALM2
N-Trimethyllysine,CALM3
4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,MAPK14
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",FGF2
"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid",PTPN1
"2,6-Diamino-Hexanoic Acid Amide",ADCYAP1
Bromo-Willardiine,GRIA2
6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid,PTPN1
{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid,LCK
"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone",CDK2
2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide,PARP1
1-Deoxy-1-Methoxycarbamido-Beta-D-Gluco-2-Heptulopyranosonamide,PYGM
Alsterpaullone,CDK5
Alsterpaullone,CDK1
Alsterpaullone,GSK3B
S-Isopropyl-Isothiourea,NOS3
"4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol",ESR2
4-{2-[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid,PYGM
"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",HSP90AA1
"2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium",PYGM
8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide,PLAU
"5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine",DAPK1
RU78191,SRC
N'-Pyridoxyl-Lysine-5'-Monophosphate,PYGM
